station_id,num_bikes_available,num_docks_disabled,num_docks_available,num_ebikes_available,eightd_has_available_keys,station_status,legacy_id,is_installed,is_renting,is_returning,num_bikes_disabled,last_reported
51,6,0,9,0,False,active,51,1,1,1,0,1670297360
52,0,0,0,0,False,out_of_service,52,0,0,0,0,86400
53,0,0,0,0,False,out_of_service,53,0,0,0,0,86400
54,8,0,4,0,False,active,54,1,1,1,3,1670301905
55,4,0,10,0,False,active,55,1,1,1,1,1670302504
56,12,0,5,0,True,active,56,1,1,1,1,1670296988
57,0,0,0,0,False,out_of_service,57,0,0,0,0,86400
58,7,1,10,0,False,active,58,1,1,1,1,1670300245
59,7,0,12,0,False,active,59,1,1,1,0,1670298207
60,7,1,10,0,False,active,60,1,1,1,1,1670301492
61,7,0,12,0,False,active,61,1,1,1,0,1670298491
63,8,0,7,0,False,active,63,1,1,1,0,1670292620
64,0,0,0,0,False,out_of_service,64,0,0,0,0,86400
65,6,0,16,0,False,active,65,1,1,1,1,1670279560
66,13,0,2,0,False,active,66,1,1,1,0,1670298629
67,1,0,26,0,False,active,67,1,1,1,0,1670302394
68,11,1,5,0,False,active,68,1,1,1,2,1670302657
69,17,0,2,0,False,active,69,1,1,1,0,1670296677
70,7,0,13,0,False,active,70,1,1,1,3,1670300999
71,15,0,7,0,False,active,71,1,1,1,1,1670298947
72,2,0,20,0,False,active,72,1,1,1,1,1670301091
73,2,0,12,0,False,active,73,1,1,1,1,1670299726
74,2,0,16,0,False,active,74,1,1,1,1,1670300368
75,11,0,2,0,False,active,75,1,1,1,2,1670301711
76,13,0,3,0,False,active,76,1,1,1,1,1670300257
77,13,0,6,0,False,active,77,1,1,1,0,1670300325
78,10,0,9,0,False,active,78,1,1,1,0,1670302752
80,0,1,34,0,False,active,80,1,1,1,0,1670297616
81,0,0,19,0,False,active,81,1,1,1,0,1670298765
82,3,0,11,0,False,active,82,1,1,1,1,1670294485
84,14,0,0,0,False,active,84,1,1,1,1,1670282283
85,1,0,18,0,False,active,85,1,1,1,0,1670288112
86,18,0,1,0,False,active,86,1,1,1,0,1670298199
87,12,0,2,0,False,active,87,1,1,1,1,1670295387
89,11,0,8,0,False,active,89,1,1,1,0,1670300083
90,0,0,19,0,False,out_of_service,90,0,0,0,0,1649685740
91,6,0,10,0,False,active,91,1,1,1,3,1670300836
92,6,0,11,0,False,active,92,1,1,1,2,1670276060
93,9,0,6,0,False,active,93,1,1,1,0,1670290652
94,9,0,2,0,False,active,94,1,1,1,0,1670298474
95,14,0,0,0,False,active,95,1,1,1,1,1670298332
96,8,0,10,0,False,active,96,1,1,1,1,1670298810
97,10,0,8,0,False,active,97,1,1,1,1,1670302649
98,21,1,0,0,False,active,98,1,1,1,1,1670288724
99,13,0,1,0,False,active,99,1,1,1,1,1670301318
100,1,0,21,0,False,active,100,1,1,1,3,1670296732
102,1,0,14,0,False,active,102,1,1,1,0,1670302634
103,9,0,6,0,False,active,103,1,1,1,0,1670298735
104,17,0,2,0,False,active,104,1,1,1,0,1670302129
105,10,0,6,0,False,active,105,1,1,1,3,1670301647
