num_docks_disabled,num_bikes_available,eightd_has_available_keys,is_returning,last_reported,num_ebikes_available,num_bikes_disabled,station_id,is_renting,station_status,is_installed,legacy_id,num_docks_available
0,11,False,1,1670211453,0,0,180,1,active,1,180,8
0,8,False,1,1670199063,0,2,181,1,active,1,181,9
0,8,False,1,1670208433,0,0,182,1,active,1,182,11
0,5,False,1,1670211618,0,0,183,1,active,1,183,14
0,13,False,1,1670215993,0,0,184,1,active,1,184,6
0,2,False,1,1670213857,0,0,185,1,active,1,185,13
0,4,False,1,1670209640,0,1,186,1,active,1,186,9
0,10,False,1,1670203858,0,0,187,1,active,1,187,5
0,6,False,1,1670211696,0,0,188,1,active,1,188,9
1,0,False,1,1670215056,0,0,189,1,active,1,189,22
0,21,False,1,1670211030,0,3,190,1,active,1,190,12
0,15,False,1,1670192740,0,0,191,1,active,1,191,0
0,2,False,1,1670212195,0,0,192,1,active,1,192,17
0,12,False,1,1670208811,0,0,193,1,active,1,193,3
0,12,False,1,1670210710,0,0,194,1,active,1,194,7
0,2,False,1,1670203276,0,1,195,1,active,1,195,20
0,3,False,1,1670201984,0,1,196,1,active,1,196,6
0,6,False,1,1670215273,0,1,197,1,active,1,197,8
0,0,False,0,86400,0,0,199,0,out_of_service,0,199,0
0,12,False,1,1670215238,0,3,200,1,active,1,200,4
0,11,False,1,1670174967,0,0,201,1,active,1,201,4
0,8,False,1,1670180831,0,0,202,1,active,1,202,7
0,4,False,1,1670185686,0,2,203,1,active,1,203,9
0,0,False,0,86400,0,0,204,0,out_of_service,0,204,0
0,3,False,1,1670191872,0,2,205,1,active,1,205,10
0,3,False,1,1670211212,0,0,206,1,active,1,206,32
0,4,False,1,1670200599,0,0,208,1,active,1,208,11
0,14,False,1,1670198184,0,0,210,1,active,1,210,1
0,0,False,0,86400,0,0,211,0,out_of_service,0,211,0
0,4,False,1,1670197978,0,1,212,1,active,1,212,28
0,10,True,1,1670210793,0,0,213,1,active,1,213,6
0,1,False,1,1670188831,0,0,214,1,active,1,214,10
0,3,False,1,1670186354,0,1,215,1,active,1,215,11
0,0,False,0,86400,0,0,216,0,out_of_service,0,216,0
1,7,False,1,1670181815,0,0,217,1,active,1,217,11
0,12,False,1,1670201784,0,3,218,1,active,1,218,0
0,2,False,1,1670181048,0,0,219,1,active,1,219,13
0,15,False,1,1670213306,0,1,221,1,active,1,221,3
0,13,False,1,1670195006,0,0,222,1,active,1,222,1
0,6,False,1,1670190197,0,1,224,1,active,1,224,10
0,18,False,1,1670210975,0,1,225,1,active,1,225,0
0,1,False,1,1670214022,0,2,226,1,active,1,226,12
0,1,False,1,1670214760,0,1,227,1,active,1,227,17
0,0,False,1,1670192318,0,0,228,1,active,1,228,19
0,2,False,1,1670145228,0,0,232,1,active,1,232,9
0,11,False,1,1670213325,0,0,233,1,active,1,233,4
0,9,False,1,1670204308,0,0,234,1,active,1,234,10
0,1,False,1,1670195372,0,0,235,1,active,1,235,14
0,3,False,1,1670187960,0,0,236,1,active,1,236,12
0,15,False,1,1670211016,0,0,239,1,active,1,239,0
0,0,False,0,86400,0,0,255,0,out_of_service,0,255,0
