last_reported,is_installed,num_bikes_disabled,num_ebikes_available,num_bikes_available,eightd_has_available_keys,num_docks_available,station_id,station_status,is_returning,num_docks_disabled,is_renting,legacy_id
1670174967,1,0,0,11,False,4,201,active,1,0,1,201
1670180831,1,0,0,8,False,7,202,active,1,0,1,202
1670185686,1,2,0,4,False,9,203,active,1,0,1,203
86400,0,0,0,0,False,0,204,out_of_service,0,0,0,204
1670191872,1,2,0,3,False,10,205,active,1,0,1,205
1670211212,1,0,0,3,False,32,206,active,1,0,1,206
1670200599,1,0,0,4,False,11,208,active,1,0,1,208
1670198184,1,0,0,14,False,1,210,active,1,0,1,210
86400,0,0,0,0,False,0,211,out_of_service,0,0,0,211
1670197978,1,1,0,4,False,28,212,active,1,0,1,212
1670210793,1,0,0,10,True,6,213,active,1,0,1,213
1670188831,1,0,0,1,False,10,214,active,1,0,1,214
1670186354,1,1,0,3,False,11,215,active,1,0,1,215
86400,0,0,0,0,False,0,216,out_of_service,0,0,0,216
1670181815,1,0,0,7,False,11,217,active,1,1,1,217
1670201784,1,3,0,12,False,0,218,active,1,0,1,218
1670181048,1,0,0,2,False,13,219,active,1,0,1,219
1670218583,1,1,0,16,False,2,221,active,1,0,1,221
1670195006,1,0,0,13,False,1,222,active,1,0,1,222
1670190197,1,1,0,6,False,10,224,active,1,0,1,224
1670210975,1,1,0,18,False,0,225,active,1,0,1,225
1670214022,1,2,0,1,False,12,226,active,1,0,1,226
1670214760,1,1,0,1,False,17,227,active,1,0,1,227
1670192318,1,0,0,0,False,19,228,active,1,0,1,228
1670145228,1,0,0,2,False,9,232,active,1,0,1,232
1670213325,1,0,0,11,False,4,233,active,1,0,1,233
1670216963,1,0,0,10,False,9,234,active,1,0,1,234
1670195372,1,0,0,1,False,14,235,active,1,0,1,235
1670187960,1,0,0,3,False,12,236,active,1,0,1,236
1670211016,1,0,0,15,False,0,239,active,1,0,1,239
86400,0,0,0,0,False,0,255,out_of_service,0,0,0,255
1670169929,1,1,0,8,False,6,258,active,1,0,1,258
86400,0,0,0,0,False,0,259,out_of_service,0,0,0,259
86400,0,0,0,0,False,0,260,out_of_service,0,0,0,260
1670188490,1,0,0,15,False,0,271,active,1,0,1,271
1670196967,1,0,0,9,False,9,272,active,1,1,1,272
1670204307,1,2,0,23,False,15,273,active,1,0,1,273
1670205311,1,0,0,14,False,9,279,active,1,0,1,279
1670197570,1,0,0,11,False,8,280,active,1,0,1,280
1670207264,1,1,0,17,False,1,282,active,1,0,1,282
1670212259,1,0,0,15,False,8,296,active,1,0,1,296
1670218820,1,0,0,0,False,19,318,active,1,0,1,318
1670204087,1,1,0,17,False,9,319,active,1,0,1,319
1670189485,1,0,0,9,False,6,327,active,1,0,1,327
1670211838,1,0,0,0,False,15,328,active,1,0,1,328
1670207587,1,0,0,8,False,7,330,active,1,0,1,330
1670212187,1,1,0,6,False,8,331,active,1,0,1,331
1670215292,1,0,0,12,False,3,332,active,1,0,1,332
1670211968,1,1,0,11,False,13,333,active,1,0,1,333
1670205208,1,0,0,14,False,5,334,active,1,0,1,334
1670219543,1,0,0,8,False,11,335,active,1,0,1,335
1670162375,1,0,0,7,False,8,336,active,1,0,1,336
1670173504,1,1,0,11,False,3,337,active,1,0,1,337
1670215339,1,0,0,9,False,5,338,active,1,1,1,338
86400,0,0,0,0,False,0,339,out_of_service,0,0,0,339
1670147334,1,0,0,9,False,10,340,active,1,0,1,340
1670191485,1,0,0,1,False,14,341,active,1,0,1,341
1670210968,1,1,0,9,False,5,342,active,1,0,1,342
86400,0,0,0,0,False,0,343,out_of_service,0,0,0,343
1670203915,1,0,0,12,False,7,344,active,1,0,1,344
1670210918,1,1,0,14,False,4,345,active,1,0,1,345
1670210367,1,0,0,5,False,10,346,active,1,0,1,346
86400,0,0,0,0,False,0,347,out_of_service,0,0,0,347
1670213241,1,0,0,11,False,4,348,active,1,0,1,348
1670147641,1,3,0,1,True,13,349,active,1,0,1,349
1670147955,1,0,0,2,False,15,350,active,1,0,1,350
1670172572,1,0,0,14,False,1,351,active,1,0,1,351
1655990752,0,0,0,0,False,15,352,out_of_service,0,0,0,352
1670147335,1,0,0,5,False,10,353,active,1,0,1,353
86400,0,0,0,0,False,0,354,out_of_service,0,0,0,354
1670183197,1,0,0,7,False,10,355,active,1,0,1,355
